spotify_id,song_name,artist,peak_position,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url,id,track_href,type,uri,target
65jw6GhwQW3Db55PxlPEpS,Be Something,Polo G Featuring Lil Baby,57,0.829,0.52,8,-10.34,1,0.294,0.0232,0,0.134,0.248,136.103,194118,4,https://api.spotify.com/v1/audio-analysis/65jw6GhwQW3Db55PxlPEpS,65jw6GhwQW3Db55PxlPEpS,https://api.spotify.com/v1/tracks/65jw6GhwQW3Db55PxlPEpS,audio_features,spotify:track:65jw6GhwQW3Db55PxlPEpS,51 to 100
7qaoXmlsSrndaQeDRPpOeW,Feigning,Gunna,98,0.793,0.536,5,-7.624,0,0.103,0.0704,3.86e-06,0.171,0.382,78.006,165680,4,https://api.spotify.com/v1/audio-analysis/7qaoXmlsSrndaQeDRPpOeW,7qaoXmlsSrndaQeDRPpOeW,https://api.spotify.com/v1/tracks/7qaoXmlsSrndaQeDRPpOeW,audio_features,spotify:track:7qaoXmlsSrndaQeDRPpOeW,51 to 100
07KXEDMj78x68D884wgVEm,High Fashion,Roddy Ricch Featuring Mustard,20,0.831,0.499,11,-8.442,0,0.114,0.269,0,0.3,0.511,97.956,220487,4,https://api.spotify.com/v1/audio-analysis/07KXEDMj78x68D884wgVEm,07KXEDMj78x68D884wgVEm,https://api.spotify.com/v1/tracks/07KXEDMj78x68D884wgVEm,audio_features,spotify:track:07KXEDMj78x68D884wgVEm,11 to 25
7qRVyZDt1Caftkk8CQlKtk,Here And Now,Kenny Chesney,38,0.509,0.814,9,-3.576,1,0.0532,0.0484,0,0.12,0.712,148.034,171493,4,https://api.spotify.com/v1/audio-analysis/7qRVyZDt1Caftkk8CQlKtk,7qRVyZDt1Caftkk8CQlKtk,https://api.spotify.com/v1/tracks/7qRVyZDt1Caftkk8CQlKtk,audio_features,spotify:track:7qRVyZDt1Caftkk8CQlKtk,26 to 50
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,2,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4,https://api.spotify.com/v1/audio-analysis/2b8fOow8UzyDFAE27YhOZM,2b8fOow8UzyDFAE27YhOZM,https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM,audio_features,spotify:track:2b8fOow8UzyDFAE27YhOZM,1 to 5
79s5XnCN4TJKTVMSmOx8Ep,Dior,Pop Smoke,30,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4,https://api.spotify.com/v1/audio-analysis/79s5XnCN4TJKTVMSmOx8Ep,79s5XnCN4TJKTVMSmOx8Ep,https://api.spotify.com/v1/tracks/79s5XnCN4TJKTVMSmOx8Ep,audio_features,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,26 to 50
2mt1IqcFyY1zmYZT8Q3xw9,Hot Girl Bummer,blackbear,11,0.782,0.559,6,-7.106,0,0.0767,0.125,0,0.385,0.685,129.992,188344,1,https://api.spotify.com/v1/audio-analysis/2mt1IqcFyY1zmYZT8Q3xw9,2mt1IqcFyY1zmYZT8Q3xw9,https://api.spotify.com/v1/tracks/2mt1IqcFyY1zmYZT8Q3xw9,audio_features,spotify:track:2mt1IqcFyY1zmYZT8Q3xw9,11 to 25
3ZCTVFBt2Brf31RLEnCkWJ,Everything I Wanted,Billie Eilish,8,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,https://api.spotify.com/v1/audio-analysis/3ZCTVFBt2Brf31RLEnCkWJ,3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ,audio_features,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,6 to 10
4NhDYoQTYCdWHTvlbGVgwo,Gooba,6ix9ine,3,0.611,0.688,1,-5.688,1,0.341,0.0264,0,0.251,0.393,178.462,132303,4,https://api.spotify.com/v1/audio-analysis/4NhDYoQTYCdWHTvlbGVgwo,4NhDYoQTYCdWHTvlbGVgwo,https://api.spotify.com/v1/tracks/4NhDYoQTYCdWHTvlbGVgwo,audio_features,spotify:track:4NhDYoQTYCdWHTvlbGVgwo,1 to 5
1oOEkBNp4zWnkD7nWjJdog,Snow On Tha Bluff,J. Cole,54,0.586,0.512,8,-8.819,0,0.0668,0.723,0.0002,0.119,0.235,75.857,235480,4,https://api.spotify.com/v1/audio-analysis/1oOEkBNp4zWnkD7nWjJdog,1oOEkBNp4zWnkD7nWjJdog,https://api.spotify.com/v1/tracks/1oOEkBNp4zWnkD7nWjJdog,audio_features,spotify:track:1oOEkBNp4zWnkD7nWjJdog,51 to 100
